Fleet,Length,Sel
1,52.5,0.0173844
2,52.5,0.00513229
3,52.5,0.0174971
4,52.5,0.0173844
1,57.5,0.0197913
2,57.5,0.00817636
3,57.5,0.0196662
4,57.5,0.0197913
1,62.5,0.0231061
2,62.5,0.0130023
3,62.5,0.0220982
4,62.5,0.0231061
1,67.5,0.0276048
2,67.5,0.0206175
3,67.5,0.0248233
4,67.5,0.0276048
1,72.5,0.0336212
2,72.5,0.0325457
3,72.5,0.0278749
4,72.5,0.0336212
1,77.5,0.0415483
2,77.5,0.0510155
3,77.5,0.0312896
4,77.5,0.0415483
1,82.5,0.0518373
2,82.5,0.0791098
3,82.5,0.0351075
4,82.5,0.0518373
1,87.5,0.0649906
2,87.5,0.120708
3,87.5,0.0393723
4,87.5,0.0649906
1,92.5,0.081549
2,92.5,0.179906
3,92.5,0.0441314
4,92.5,0.081549
1,97.5,0.102072
2,97.5,0.259566
3,97.5,0.0494363
4,97.5,0.102072
1,102.5,0.127109
2,102.5,0.359055
3,102.5,0.0553419
4,102.5,0.127109
1,107.5,0.157163
2,107.5,0.472351
3,107.5,0.061907
4,107.5,0.157163
1,112.5,0.192652
2,112.5,0.588568
3,112.5,0.0691939
4,112.5,0.192652
1,117.5,0.233856
2,117.5,0.69568
3,117.5,0.0772678
4,117.5,0.233856
1,122.5,0.280873
2,122.5,0.785088
3,122.5,0.0861966
4,122.5,0.280873
1,127.5,0.333567
2,127.5,0.853751
3,127.5,0.0960498
4,127.5,0.333567
1,132.5,0.39153
2,132.5,0.903182
3,132.5,0.106898
4,132.5,0.39153
1,137.5,0.454051
2,137.5,0.937135
3,137.5,0.11881
4,137.5,0.454051
1,142.5,0.520104
2,142.5,0.959713
3,142.5,0.131853
4,142.5,0.520104
1,147.5,0.588349
2,147.5,0.974403
3,147.5,0.146091
4,147.5,0.588349
1,152.5,0.657168
2,152.5,0.983827
3,152.5,0.16158
4,152.5,0.657168
1,157.5,0.724713
2,157.5,0.989818
3,157.5,0.178368
4,157.5,0.724713
1,162.5,0.788983
2,162.5,0.993604
3,162.5,0.196492
4,162.5,0.788983
1,167.5,0.847917
2,167.5,0.995988
3,167.5,0.215973
4,167.5,0.847917
1,172.5,0.899505
2,172.5,0.997485
3,172.5,0.236817
4,172.5,0.899505
1,177.5,0.941894
2,177.5,0.998425
3,177.5,0.259007
4,177.5,0.941894
1,182.5,0.973505
2,182.5,0.999014
3,182.5,0.282508
4,182.5,0.973505
1,187.5,0.993127
2,187.5,0.999383
3,187.5,0.307256
4,187.5,0.993127
1,192.5,0.999996
2,192.5,0.999614
3,192.5,0.333166
4,192.5,0.999996
1,197.5,1
2,197.5,0.999758
3,197.5,0.360124
4,197.5,1
1,202.5,1
2,202.5,0.999849
3,202.5,0.387995
4,202.5,1
1,207.5,1
2,207.5,0.999905
3,207.5,0.416619
4,207.5,1
1,212.5,1
2,212.5,0.999941
3,212.5,0.445816
4,212.5,1
1,217.5,1
2,217.5,0.999963
3,217.5,0.475391
4,217.5,1
1,222.5,0.998145
2,222.5,0.999977
3,222.5,0.50514
4,222.5,0.998145
1,227.5,0.483483
2,227.5,0.999985
3,227.5,0.534853
4,227.5,0.483483
1,232.5,0.483483
2,232.5,0.999991
3,232.5,0.564321
4,232.5,0.483483
1,237.5,0.483483
2,237.5,0.999994
3,237.5,0.593341
4,237.5,0.483483
1,242.5,0.483483
2,242.5,0.999996
3,242.5,0.621724
4,242.5,0.483483
1,247.5,0.483483
2,247.5,0.999998
3,247.5,0.649297
4,247.5,0.483483
1,252.5,0.483483
2,252.5,0.999999
3,252.5,0.675907
4,252.5,0.483483
1,257.5,0.483483
2,257.5,0.999999
3,257.5,0.701427
4,257.5,0.483483
1,262.5,0.483483
2,262.5,0.999999
3,262.5,0.725753
4,262.5,0.483483
1,267.5,0.483483
2,267.5,1
3,267.5,0.748807
4,267.5,0.483483
1,272.5,0.483483
2,272.5,1
3,272.5,0.770535
4,272.5,0.483483
1,277.5,0.483483
2,277.5,1
3,277.5,0.790909
4,277.5,0.483483
1,282.5,0.483483
2,282.5,1
3,282.5,0.80992
4,282.5,0.483483
1,287.5,0.483483
2,287.5,1
3,287.5,0.827579
4,287.5,0.483483
1,292.5,0.483483
2,292.5,1
3,292.5,0.843914
4,292.5,0.483483
1,297.5,0.483483
2,297.5,1
3,297.5,0.858965
4,297.5,0.483483
1,302.5,0.483483
2,302.5,1
3,302.5,0.872784
4,302.5,0.483483
1,307.5,0.483483
2,307.5,1
3,307.5,0.885429
4,307.5,0.483483
1,312.5,0.483483
2,312.5,1
3,312.5,0.896966
4,312.5,0.483483
1,317.5,0.483483
2,317.5,1
3,317.5,0.907462
4,317.5,0.483483
1,322.5,0.483483
2,322.5,1
3,322.5,0.916988
4,322.5,0.483483
1,327.5,0.483483
2,327.5,1
3,327.5,0.925614
4,327.5,0.483483
1,332.5,0.483483
2,332.5,1
3,332.5,0.933408
4,332.5,0.483483
1,337.5,0.483483
2,337.5,1
3,337.5,0.940439
4,337.5,0.483483
1,342.5,0.483483
2,342.5,1
3,342.5,0.946769
4,342.5,0.483483
1,347.5,0.483483
2,347.5,1
3,347.5,0.952461
4,347.5,0.483483
1,352.5,0.483483
2,352.5,1
3,352.5,0.957571
4,352.5,0.483483
1,357.5,0.483483
2,357.5,1
3,357.5,0.962154
4,357.5,0.483483
1,362.5,0.483483
2,362.5,1
3,362.5,0.966259
4,362.5,0.483483
